LatinName,CommonName,Family,Shape,HeightLow,HeightHigh,WidthLow,WidthHigh,WhorlsLow,WhorlsHigh,WhorlIncrease,Perforate,Umbilicate,Rimate,Imperforate,LipReflected,teeth,Flattened,Shouldered,ModShouldered,Rounded,Ovate,Slit,Lunate,Truncated,Sutures,Transverse,Spiral,Lirate,Ribs,Papillae,Puncta,Hairs,Blotches,Bands,Operculum,Eyes,Pedal,Flavor,SnailID,Notes,Pilsbry,Discoverer,HasImages
Anguispira fergusoni,Coastal Plain Tigersnail,Discidae,Depressed Heliciform,,,15,17.5,,,,n,y,n,n,n,n,n,y,y,y,n,n,y,n,,n,n,n,y,n,n,n,y,n,n,i,y,Sn,39,Differentiated from A. alterna by orange mucus color.,Vol. II Part 2 p. 575 as Anguispira alternata fergusoni,Bland\123 1861,n
Anguispira kochi,Banded Tigersnail,Discidae,Depressed Heliciform,14,21,17,31,6,6,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,y,n,i,y,Sn,40,,Vol. II Part 2 p.591,Pfeiffer\123 1821,n
Discus catskillensis,Angular Disc,Discidae,Depressed Heliciform,,,5,5,4,4,,n,y,n,n,n,n,n,y,y,n,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,41,,Vol. II Part 2 p. 605 as Discus cronkheiti catskillensis,Pilsbry\123 1896,y
Discus patulus,Domed Disc,Discidae,Depressed Heliciform,3,4,7,9,5,5.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,y,Sn,42,Widest umbilicus of any Discus (except bryanti).,Vol. II Part 2 p.608,Deshayes\123 1831,n
Discus rotundatus,Rotund Disc,Discidae,Depressed Heliciform,,,5.5,7,5.5,6,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,y,n,n,n,y,n,n,i,y,Sn,43,Very flattened.,Vol. II Part 2 p.616,Müller\123 1774,n
Discus whitneyi,Forest Disc,Discidae,Depressed Heliciform,,,5,7,3.5,4.5,,n,y,n,n,n,n,n,y,y,y,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,y,Sn,44,,Vol. II Part 2 p.600 as Discus cronkheiti,Newcomb\123 1864,n
Helicodiscus parallelus,Compound Coil,Helicodiscidae,Discoidal,1,1.3,3.2,3.5,4,4.5,,n,y,n,n,n,y,n,n,n,y,n,n,y,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,45,Spiral striae missing or weak from first 1.5 whorls.,Vol. II Part 2 p.625,Say\123 1817,n
Helicodiscus shimeki,Temperate Coil,Helicodiscidae,Discoidal,,,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,46,,Vol. II Part 2 p.617 as Discus shimeki,Hubricht\123 1962,n
Lucilla singleyana,Smooth Coil,Helicodiscidae,Depressed Heliciform,,,1.2,3,3.5,4,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,deep,n,y,n,n,n,n,n,n,n,n,i,y,Sn,48,Spirals only evident under high magnification,,Pilsbry\123 1889,n
Punctum minutissimum,Small Spot,Punctidae,Depressed Heliciform,0.65,1,1.1,1.5,3.5,4.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,y,n,n,n,n,n,n,i,y,Sn,49,First 1 1/2 whorls are smooth\123 then has closely spaced ribs and spiral striae,,I. Lea\123 1841,n
Punctum vitreum,Glass Spot,Punctidae,Depressed Heliciform,0.75,0.95,1.2,1.4,4,4.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,y,n,n,n,n,n,n,i,y,Sn,50,First whorl irregularly wrinkled. Last 3/4 embryonic whorl spiral striae become more distinct.,,,n
