species,common,family,author,status,states,native,shape,pupa,height,width,whorls,whorl_method,perforate,imperforate,umbilicate,rimate,lip_reflected,deflected,teeth,parietal,palatal,columellar,basal,ovate,lunate,slit,flattened,shouldered,moderately_shouldered,rounded,spiral_striae,lirate,axial_striae,axial_ridges,lamellar_ribs,wrinkles,malleations,papillae,puncta,hairs,blotches,bands,operculum,pedal,shell_color,notes
Vertigo bollesiana,Delicate Vertigo,Pupillidae,"(E.S. Morse, 1865) ",G4,"VT,WI,WV,NS,ON,QC,IA,KY,MA,MD,ME,MI,MN,NC,NH,NY,OH,PA,TN,VA",y,Pupa,,"1.5,1.5",",","4,5",,y,n,n,n,n,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Cylindrical ovate. Weak striae. Five teeth.
Vertigo brierensis,Briarton Pleistocene Snail,Pupillidae,"(Leonard, 1972) ",G1,"IA,IL,MN,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo elatior,Tapered Vertigo,Pupillidae,"Sterki, 1894 ",G5,"NY,OH,SD,TX,UT,VA,WI,WY,AB,BC,ON,NF,AZ,DE,IA,IL,IN,KS,MA,ME,MI,MN,MO,MT,ND,NE,NM",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo gouldi,Variable Vertigo,Pupillidae,"(A. Binney, 1843) ",G5,"NF,NS,ON,QC,AL,IA,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,NC,NH,NJ,NM,NY,OH,PA,TN,TX,UT,VA,WI,WV,AB,BC,NB",y,Pupa,,"1.5,2.1",",","4.5,5",,,,,,,,y,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,"Usually 5, sometimes 4, teeth."
Vertigo hubrichti,Hubricht's Vertigo,Pupillidae,"Pilsbry, 1934 ",G3,"IA,IL,IN,KY,MI,MN,MO,MS,NE,SD,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo meramecensis,Bluff Vertigo,Pupillidae,"Van Devender, 1979 ",G2G3,"IA,IL,LA,MN,MO,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo milium,Blade Vertigo,Pupillidae,"(Gould, 1840) ",G5,"VT,WI,WV,ON,QC,AL,AR,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN,TX,VA",y,Pupa,,"1.3,1.75","0.8,1","4.5,5",,,,,,y,,y,,,,,n,,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Six teeth.
Vertigo modesta,Cross Vertigo,Pupillidae,"(Say, 1824) ",G5,"TX,UT,WA,WI,AB,BC,LB,NF,NS,ON,AK,CA,IA,ID,IL,IN,KS,KY,ME,MI,MN,ND,NE,NM,SD",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo occulta,Occult vertigo,Pupillidae,"Leonard, 1972 ",G2,"IA,IL,MN,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo ovata,Ovate Vertigo,Pupillidae,"Say, 1822 ",G5,"AB,BC,LB,NS,ON,QC,AK,AL,AR,CA,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV",y,Pupa,,"2.2,2.3","1.4,1.5","5,5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
